STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
MORAGA ST,45TH AVE,NE,WB,0,27930000,MORAGA ST & 45TH AVE,20210618000000,,6423,I,21-02595,20210723000000,POINT (-122.50446 37.75488),39,39,10,7,35
PERU,ATHENS,,EB,,21652000,,,,,,,,POINT (-122.42493 37.726322),90,90,9,1,7
LA PLAYA ST,JUDAH,NW,SB,0,27960000,LA PLAYA ST & JUDAH,,,,,,,POINT (-122.50914 37.76028),39,39,10,7,35
37TH AVE,CABRILLO,NW,SB,0,27863000,37TH AVE & CABRILLO,,,,,,,POINT (-122.497185 37.77385),8,8,8,4,29
PRESIDIO,GEARY,SE,NB,,26834000,PRESIDIO AVE & GEARY BLVD,,,,,,,POINT (-122.44582 37.78249),13,13,8,6,18
DARIEN,SANTA ANA,SW,EB,0,22773000,DARIEN WY & SANTA ANA AVE,20201113000000,,6326,I,20-00691,20210202000000,POINT (-122.46785 37.73182),63,63,10,8,41
HAMILTON,MANSELL,SE,NB,0,20847000,HAMILTON & MANSELL,,,,,,,POINT (-122.407 37.71999),75,75,2,9,19
19TH ST,TEXAS,NE,WB,,23664000,19TH ST & TEXAS ST,,,,,,,POINT (-122.39544 37.76136),54,54,2,9,26
BAKER,JACKSON,SE,NB,0,26863000,BAKER ST & JACKSON ST,,,,,,,POINT (-122.44448 37.791206),102,102,8,6,30
24TH ST,HOFFMAN,,EB,,26083000,,,,,,,,POINT (-122.44061 37.7509),51,51,3,5,22
LAGUNA ST,WASHINGTON,NW,SB,0,26558000,LAGUNA ST & WASHINGTON,,,,,,,POINT (-122.42945 37.792217),102,102,4,6,30
ITALY,LONDON,NE,WB,0,21733000,ITALY AVE & LONDON ST,,,,,,,POINT (-122.438774 37.71812),90,90,9,1,7
18TH ST,HARTFORD,SW,EB,,25792000,18TH ST & HARTFORD,,,,,,,POINT (-122.43391 37.760956),38,38,3,5,5
CLEMENT,27TH AVE,SW,EB,0,27559000,CLEMENT ST & 27TH AVE,,,,,,,POINT (-122.48702 37.781925),8,8,8,4,29
YALE,FELTON,NW,SB,0,20957000,YALE & FELTON,,,,,,,POINT (-122.41741 37.726685),92,92,2,2,7
TINGLEY,ALEMANY,NE,WB,0,21763000,TINGLEY & ALEMANY,,,,,,,POINT (-122.433975 37.729305),94,94,9,5,28
JARBOE AVE,NEVADA,NE,WB,0,21062000,JARBOE AVE & NEVADA,,,,,,,POINT (-122.4115 37.73821),83,83,9,2,2
FAIRFAX,PHELPS,NE,WB,0,20242000,FAIRFAX AVE & PHELPS ST,20220506000000,,6536,I,22-04136,20220526000000,POINT (-122.389015 37.74236),86,86,2,9,1
BOSWORTH,ROUSSEAU,NE,WB,0,21859000,BOSWORTH & ROUSSEAU,,,,,,,POINT (-122.430275 37.733315),93,93,9,5,28
HAIGHT,COLE,NE,WB,,26414000,HAIGHT ST & COLE ST,,,,I,,,POINT (-122.45071 37.769527),25,25,7,11,3
TARAVAL,26TH AVE,,WB,,23264000,TARAVAL & 26TH AVE,,,,,,,POINT (-122.48319 37.74272),40,40,10,7,35
19TH AVE,RANDOLPH,NW,NB,,22543000,19TH AVE & RANDOLPH ST,,,,I,,,POINT (-122.469795 37.714283),65,65,10,1,24
26TH ST,SHOTWELL,NE,WB,,21293000,26TH ST & SHOTWELL ST,,,,,,,POINT (-122.41486 37.749237),53,53,3,2,20
NOE,23RD ST,SE,NB,,25741000,NOE & 23RD ST,,,,,,,POINT (-122.43202 37.753025),84,84,3,5,22
HAMPSHIRE,CESAR CHAVEZ,NW,SB,0,33287000,HAMPSHIRE ST & CESAR CHAVEZ,,,,I,,,POINT (-122.40676 37.748768),53,53,3,2,20
O'FARRELL,ST JOSEPHS,NE,WB,0,26812000,O FARRELL ST & ST JOSEPHS AVE,,,,,,,POINT (-122.44167 37.782234),13,13,7,6,39
PAGE,BRODERICK,SW,EB,0,26035000,PAGE & BRODERICK,,,,,,,POINT (-122.438896 37.77199),112,112,7,11,3
TOPEKA,SILVER,SE,NB,,20743000,,,,,,,,POINT (-122.400955 37.73526),87,87,2,9,1
AVILA,ALHAMBRA,SE,NB,0,26971000,AVILA & ALHAMBRA,,,,,,,POINT (-122.440506 37.80128),17,17,4,6,13
BRODERICK,BAY,NE,WB,,27006000,BRODERICK ST & BAY ST,,,,I,,,POINT (-122.44489 37.801624),17,17,4,6,13
38TH AVE,JUDAH,SE,NB,0,27782000,38TH AVE & JUDAH,,,,,,,POINT (-122.49735 37.760803),39,39,10,7,35
WILLARD,MCALLISTER,NW,SB,0,27202000,WILLARD NORTH & MCALLISTER ST,,,,,,,POINT (-122.456474 37.775482),12,12,8,4,18
GELLERT,MIDDLEFIELD,SW,EB,,23135000,GELLERT DR & MIDDLEFIELD DR,,,,,,,POINT (-122.48651 37.7298),43,43,10,8,16
39TH AVE,ULLOA,SE,NB,0,23436000,39TH AVE & ULLOA,,,,,,,POINT (-122.49699 37.74024),39,39,10,7,35
SCOTT,CHESTNUT,SE,NB,0,26972000,SCOTT & CHESTNUT,,,,,,,POINT (-122.44118 37.80019),17,17,4,6,13
WANDA,OCEAN,SE,NB,0,22068000,WANDA & OCEAN AVE,,,,I,,,POINT (-122.43985 37.72348),80,80,9,1,28
PRAGUE,PERSIA,NW,SB,0,21626000,PRAGUE ST & PERSIA AVE,,,,I,,,POINT (-122.42719 37.718945),90,90,9,1,7
ROCKDALE,REPOSA,SE,NB,0,22374000,ROCKDALE & REPOSA,,,,,,,POINT (-122.44996 37.740448),72,72,9,8,41
46TH AVE,MORAGA,SE,NB,,27931000,46TH AVE & MORAGA ST,20200904000000,,6291,I,20-01239,20201007000000,POINT (-122.50553 37.75483),39,39,10,7,35
47TH AVE,ULLOA,SE,NB,0,23501000,47TH AVE & ULLOA,,,,,,,POINT (-122.50556 37.73986),39,39,10,7,35
PRATT,CALIFORNIA,NW,SB,0,30769000,PRATT & CALIFORNIA,,,,,,,POINT (-122.40809 37.79218),16,16,6,3,6
28TH AVE,CLEMENT,SE,NB,00,27841000,28TH AVE & CLEMENT,,,,,,,POINT (-122.48808 37.781876),8,8,8,4,29
10TH AVE,JUDAH,SE,NB,0,27148000,10TH AVE & JUDAH,,,,,,,POINT (-122.467255 37.762127),109,109,10,11,14
ESMERALDA,ALABAMA,NE,WB,0,21111000,ESMERALDA & ALABAMA,,,,,,,POINT (-122.41034 37.743748),83,83,9,2,2
GOLDEN GATE,CHABOT,,EB,,26458000,GOLDEN GATE & CHABOT,,,,,,,POINT (-122.45135 37.777092),12,12,7,4,18
OAK PARK,DEVONSHIRE,NW,SB,,27049000,OAK PARK & DEVONSHIRE,,,,,,,POINT (-122.46054 37.755028),111,111,7,8,14
CASTILLO,VELASCO,SE,NB,0,20412000,CASTILLO & VELASCO,,,,,,,POINT (-122.417656 37.709473),74,74,9,9,40
MARINA,WEBSTER,SW,EB,,26795000,MARINA BLVD & WEBSTER ST,,,,,,,POINT (-122.435646 37.80619),17,17,4,6,13
27TH AVE,LINCOLN,SE,NB,00,27436000,27TH AVE & LINCOLN,,,,,,,POINT (-122.48583 37.765068),9,9,10,7,35
COLLEGE,SAINT MARYS,NW,SB,,21854000,COLLEGE AVE & SAINT MARYS AVE,,,,,,,POINT (-122.42784 37.734695),93,93,9,5,2
CLAY,ARGUELLO,NE,WB,0,27574000,CLAY ST & ARGUELLO,,,,,,,POINT (-122.45932 37.78752),4,4,8,6,31
CONNECTICUT,20TH ST,SE,NB,0,23666000,CONNECTICUT & 20TH ST,,,,,,,POINT (-122.39725 37.759968),54,54,2,9,26
24TH ST,FLORIDA,,EB,,23959000,,,,,,,,POINT (-122.410065 37.75274),53,53,3,2,20
WISCONSIN,25TH ST,SE,NB,,23685000,WISCONSIN ST & 25TH ST,20170606000000,,170606-067,I,,,POINT (-122.39845 37.752193),54,54,2,9,26
LOEHR ST,VISITACION,SE,NB,,20390000,LOEHR ST & VISITACION,,,,,,,POINT (-122.41344 37.712986),75,75,9,9,40
LAKE,08TH AVE,SW,EB,0,27601000,08TH AVE & LAKE,20220905000000,,6571,I,22-04642,20220923000000,POINT (-122.46683 37.786568),4,4,8,6,11
BAKER,FILBERT,SE,NB,0,26891000,BAKER ST & FILBERT ST,,,,,,,POINT (-122.445595 37.79676),14,14,4,6,13
10TH AVE,LAKE,NW,SB,0,27609000,10TH AVE & LAKE,,,,,,,POINT (-122.46897 37.786484),4,4,8,6,11
19TH ST,MINNESOTA,NE,WB,0,23645000,19TH ST & MINNESOTA ST,,,,,,,POINT (-122.39057 37.761654),55,55,2,9,26
PIERCE,EDDY,SE,NB,0,26068000,PIERCE ST & EDDY ST,,,,,,,POINT (-122.435616 37.78101),97,97,4,11,39
COLLEGE,MURRAY,NW,SB,,21816000,COLLEGE AVE & MURRAY ST,,,,,,,POINT (-122.42369 37.73358),93,93,9,2,2
BALBOA,23RD AVE,NE,WB,,27533000,BALBOA ST & 23RD AVE,,,,,,,POINT (-122.482315 37.7764),8,8,8,4,29
CAPP,26TH ST,NW,SB,,21305000,CAPP & 26TH ST,,,,,,,POINT (-122.417046 37.749107),53,53,3,2,20
LOOMIS,INDUSTRIAL,NW,SB,0,20779000,LOOMIS ST & INDUSTRIAL ST,,,,I,,,POINT (-122.40565 37.738323),82,82,2,9,1
44TH AVE,QUINTARA,SE,NB,,23486000,44TH AVE & QUINTARA,,,,,,,POINT (-122.50287 37.747463),39,39,10,7,35
CHESTNUT,BUCHANAN,,EB,,26741000,CHESTNUT & BUCHANAN,,,,,,,POINT (-122.43296 37.801235),17,17,4,6,13
14TH AVE,JUDAH,SE,NB,0,27169000,14TH AVE & JUDAH,,,,,,,POINT (-122.471535 37.76194),109,109,10,11,14
ANZA,03RD AVE,SW,EB,0,27236000,ANZA ST & 03RD AVE,,,,,,,POINT (-122.46093 37.779236),5,5,8,4,11
COLLINS,EUCLID,NW,SB,0,26912000,COLLINS & EUCLID,,,,,,,POINT (-122.450134 37.78448),11,11,8,6,31
MIDDLEWEST,MARTIN LUTHER KING,NW,SB,0,27794000,MIDDLEWEST & MARTIN LUTHER KING,,,,,,,POINT (-122.49835 37.76514),9,9,8,4,12
RHODE ISLAND,18TH ST,SE,NB,0,23759000,RHODE ISLAND ST & 18TH ST,,,,I,,,POINT (-122.40233 37.76223),54,54,2,9,26
LAWTON,11TH AVE,NE,WB,0,27128000,11TH AVE & LAWTON ST,20201113000000,,6326,I,20-01546,20201215000000,POINT (-122.46806 37.75835),44,44,10,8,14
JEFFERSON ST,DIVISADERO,SW,EB,0,26998000,JEFFERSON ST & DIVISADERO,,,,,,,POINT (-122.443794 37.804638),17,17,4,6,13
CRAGMONT,QUINTARA,NW,SB,0,27096000,CRAGMONT & QUINTARA,20221021000000,,6593,L,,,POINT (-122.46738 37.749027),44,44,10,8,41
ROLPH,WINDING,NW,EB,0,21385000,ROLPH & WINDING,,,,,,,POINT (-122.43187 37.711403),58,58,9,1,7
DELANO,NIAGARA,NW,SB,,22098000,DELANO & NIAGARA,,,,,,,POINT (-122.44591 37.718826),80,80,9,1,28
SILLIMAN,GIRARD,SW,EB,,20896000,SILLIMAN ST & GIRARD,,,,,,,POINT (-122.40609 37.730976),91,91,2,2,25
RHODE ISLAND,17TH ST,NW,SB,0,23771000,RHODE ISLAND ST & 17TH ST,,,,I,,,POINT (-122.402565 37.764782),54,54,1,9,4
45TH AVE,BALBOA,,SB,,27984000,45TH AVE & BALBOA,,,,,,,POINT (-122.50588 37.775322),8,8,8,4,29
11TH AVE,PACHECO,NW,SB,,27099000,11TH AVE & PACHECO ST,20180904000000,,180904-122,I,18-6583,,POINT (-122.46761 37.75166),44,44,10,8,14
25TH AVE,MARTIN L KING,SE,NB,0,27461000,25TH AVE & MARTIN L KING,,,,,,,POINT (-122.48237 37.76677),9,9,8,4,12
MARTIN LUTHER KING,MIDDLEWEST,NE,WB,0,27794000,MIDDLEWEST & MARTIN LUTHER KING,,,,I,22-03610,20220629000000,POINT (-122.49835 37.76514),9,9,8,4,12
38TH AVE,LAWTON,SE,NB,0,27759000,38TH AVE & LAWTON,,,,,,,POINT (-122.49709 37.75707),39,39,10,7,35
BRAZIL,ATHENS,SW,EB,0,21635000,BRAZIL AVE & ATHENS,,,,,,,POINT (-122.42843 37.721634),90,90,9,1,7
ELIZABETH,CASTRO,NE,WB,0,25742000,ELIZABETH & CASTRO,,,,,,,POINT (-122.434166 37.75209),84,84,3,5,22
NEWHALL,KIRKWOOD,SE,NB,0,20668000,NEWHALL ST & KIRKWOOD AVE,,,,,,,POINT (-122.38996 37.738167),86,86,2,9,1
37TH AVE,SLOAT,SE,NB,0,32903000,37TH AVE & SLOAT,,,,,,,POINT (-122.4944 37.73396),40,40,10,8,35
CORTLAND,BOCANA,SW,EB,,21246000,CORTLAND AVE & BOCANA ST,,,,,,,POINT (-122.41859 37.739296),61,61,9,2,2
ANZA,29TH AVE,SW,EB,0,27834000,ANZA ST & 29TH AVE,,,,,,,POINT (-122.48888 37.777973),8,8,8,4,29
BENNINGTON,CORTLAND,NW,SB,00,21221000,BENNINGTON & CORTLAND,,,,,,,POINT (-122.41778 37.739185),83,83,9,2,2
PACHECO ST,44TH AVE,NW,SB,,23488000,PACHECO ST & 44TH AVE,20210416000000,,6395,I,21-02356,20210614000000,POINT (-122.503006 37.74933),39,39,10,7,35
ESMERALDA,ELSIE,SW,EB,0,21279000,ESMERALDA & ELSIE,,,,,,,POINT (-122.41742 37.74322),83,83,9,2,2
17TH AVE,PACHECO,NW,SB,,27312000,17TH AVE & PACHECO,,,,,,,POINT (-122.474075 37.750603),44,44,10,8,14
SHAFTER,GRIFFITH,NE,WB,,20116000,SHAFTER & GRIFFITH,,,,,,,POINT (-122.38138 37.725735),78,78,2,9,1
FUNSTON,MORAGA,NW,SB,0,27138000,FUNSTON & MORAGA,,,,,,,POINT (-122.47007 37.75639),44,44,10,8,14
MADRID,ROLPH,NW,SB,,21434000,MADRID & ROLPH,,,,,,,POINT (-122.43828 37.714283),58,58,9,1,7
THERESA,ALEMANY,NE,WB,0,21766000,THERESA & ALEMANY,,,,,,,POINT (-122.43448 37.728733),94,94,9,1,28
MT VERNON,CAYUGA,SW,EB,0,22091000,MT VERNON & CAYUGA,,,,,,,POINT (-122.44581 37.71708),80,80,9,1,28
ALTON,CASTENADA,SW,EB,,27038000,ALTON AVE & CASTENADA AVE,20160503000000,,16-056,,,,POINT (-122.46207 37.750275),45,45,10,8,41
SHOTWELL,25TH ST,NW,SB,0,24059000,SHOTWELL & 25TH ST,,,,,,,POINT (-122.415016 37.750835),53,53,3,2,20
