Tile_ID,Long2,Lat2,Long1,Lat1,Mid_lat,Mid_long,Stop_Signs,Paving_historical,Paving_future,Bus_stop,Collisions_Future,Collisions_Historical,RTTYP_I,RTTYP_M,RTTYP_O,RTTYP_S,RTTYP_U,bin
36,-122.514446,37.77963582,-122.5133059,37.77873221,37.779184,-122.513876,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
37,-122.514446,37.77873221,-122.5133059,37.77782861,37.77828,-122.513876,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
151,-122.5133059,37.77963582,-122.5121658,37.77873221,37.779184,-122.512736,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
152,-122.5133059,37.77873221,-122.5121658,37.77782861,37.77828,-122.512736,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
153,-122.5133059,37.77782861,-122.5121658,37.776925,37.777377,-122.512736,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
261,-122.5121658,37.78415384,-122.5110257,37.78325024,37.783702,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
262,-122.5121658,37.78325024,-122.5110257,37.78234663,37.782798,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
263,-122.5121658,37.78234663,-122.5110257,37.78144303,37.781895,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
264,-122.5121658,37.78144303,-122.5110257,37.78053942,37.780991,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
265,-122.5121658,37.78053942,-122.5110257,37.77963582,37.780088,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
266,-122.5121658,37.77963582,-122.5110257,37.77873221,37.779184,-122.511596,1.0,0.0,0.0,0.0,5.0,5.0,0,1,0,0,0,4
268,-122.5121658,37.77782861,-122.5110257,37.776925,37.777377,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
269,-122.5121658,37.776925,-122.5110257,37.77602139,37.776473,-122.511596,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,1
270,-122.5121658,37.77602139,-122.5110257,37.77511779,37.77557,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
271,-122.5121658,37.77511779,-122.5110257,37.77421418,37.774666,-122.511596,4.0,0.0,0.0,0.0,1.0,3.0,0,1,0,0,0,2
272,-122.5121658,37.77421418,-122.5110257,37.77331058,37.773762,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
273,-122.5121658,37.77331058,-122.5110257,37.77240697,37.772859,-122.511596,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1
274,-122.5121658,37.77240697,-122.5110257,37.77150337,37.771955,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
275,-122.5121658,37.77150337,-122.5110257,37.77059976,37.771052,-122.511596,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
276,-122.5121658,37.77059976,-122.5110257,37.76969616,37.770148,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
376,-122.5110257,37.78415384,-122.5098855,37.78325024,37.783702,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
378,-122.5110257,37.78234663,-122.5098855,37.78144303,37.781895,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
379,-122.5110257,37.78144303,-122.5098855,37.78053942,37.780991,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
380,-122.5110257,37.78053942,-122.5098855,37.77963582,37.780088,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
381,-122.5110257,37.77963582,-122.5098855,37.77873221,37.779184,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
385,-122.5110257,37.77602139,-122.5098855,37.77511779,37.77557,-122.510456,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
386,-122.5110257,37.77511779,-122.5098855,37.77421418,37.774666,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
387,-122.5110257,37.77421418,-122.5098855,37.77331058,37.773762,-122.510456,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
388,-122.5110257,37.77331058,-122.5098855,37.77240697,37.772859,-122.510456,1.0,0.0,0.0,2.0,0.0,0.0,0,1,0,0,0,1
389,-122.5110257,37.77240697,-122.5098855,37.77150337,37.771955,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
390,-122.5110257,37.77150337,-122.5098855,37.77059976,37.771052,-122.510456,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0,2
391,-122.5110257,37.77059976,-122.5098855,37.76969616,37.770148,-122.510456,0.0,0.0,0.0,0.0,2.0,4.0,0,1,0,0,0,2
392,-122.5110257,37.76969616,-122.5098855,37.76879255,37.769244,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
393,-122.5110257,37.76879255,-122.5098855,37.76788895,37.768341,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
394,-122.5110257,37.76788895,-122.5098855,37.76698534,37.767437,-122.510456,0.0,0.0,0.0,2.0,0.0,0.0,0,1,0,0,0,1
395,-122.5110257,37.76698534,-122.5098855,37.76608174,37.766534,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
396,-122.5110257,37.76608174,-122.5098855,37.76517813,37.76563,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
397,-122.5110257,37.76517813,-122.5098855,37.76427453,37.764726,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
398,-122.5110257,37.76427453,-122.5098855,37.76337092,37.763823,-122.510456,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0,2
399,-122.5110257,37.76337092,-122.5098855,37.76246732,37.762919,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
400,-122.5110257,37.76246732,-122.5098855,37.76156371,37.762016,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
401,-122.5110257,37.76156371,-122.5098855,37.76066011,37.761112,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
402,-122.5110257,37.76066011,-122.5098855,37.7597565,37.760208,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
490,-122.5098855,37.78505745,-122.5087454,37.78415384,37.784606,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
491,-122.5098855,37.78415384,-122.5087454,37.78325024,37.783702,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
492,-122.5098855,37.78325024,-122.5087454,37.78234663,37.782798,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
493,-122.5098855,37.78234663,-122.5087454,37.78144303,37.781895,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
494,-122.5098855,37.78144303,-122.5087454,37.78053942,37.780991,-122.509315,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
495,-122.5098855,37.78053942,-122.5087454,37.77963582,37.780088,-122.509315,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0,2
496,-122.5098855,37.77963582,-122.5087454,37.77873221,37.779184,-122.509315,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
497,-122.5098855,37.77873221,-122.5087454,37.77782861,37.77828,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
498,-122.5098855,37.77782861,-122.5087454,37.776925,37.777377,-122.509315,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
499,-122.5098855,37.776925,-122.5087454,37.77602139,37.776473,-122.509315,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
500,-122.5098855,37.77602139,-122.5087454,37.77511779,37.77557,-122.509315,5.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
501,-122.5098855,37.77511779,-122.5087454,37.77421418,37.774666,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
502,-122.5098855,37.77421418,-122.5087454,37.77331058,37.773762,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
503,-122.5098855,37.77331058,-122.5087454,37.77240697,37.772859,-122.509315,2.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
504,-122.5098855,37.77240697,-122.5087454,37.77150337,37.771955,-122.509315,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
505,-122.5098855,37.77150337,-122.5087454,37.77059976,37.771052,-122.509315,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,2
506,-122.5098855,37.77059976,-122.5087454,37.76969616,37.770148,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
507,-122.5098855,37.76969616,-122.5087454,37.76879255,37.769244,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
512,-122.5098855,37.76517813,-122.5087454,37.76427453,37.764726,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
513,-122.5098855,37.76427453,-122.5087454,37.76337092,37.763823,-122.509315,5.0,0.0,0.0,1.0,4.0,2.0,0,1,0,0,0,3
514,-122.5098855,37.76337092,-122.5087454,37.76246732,37.762919,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
515,-122.5098855,37.76246732,-122.5087454,37.76156371,37.762016,-122.509315,5.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
516,-122.5098855,37.76156371,-122.5087454,37.76066011,37.761112,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
517,-122.5098855,37.76066011,-122.5087454,37.7597565,37.760208,-122.509315,5.0,0.0,0.0,1.0,4.0,1.0,0,1,0,0,0,3
518,-122.5098855,37.7597565,-122.5087454,37.75885289,37.759305,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
519,-122.5098855,37.75885289,-122.5087454,37.75794929,37.758401,-122.509315,3.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,1
520,-122.5098855,37.75794929,-122.5087454,37.75704568,37.757497,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
521,-122.5098855,37.75704568,-122.5087454,37.75614208,37.756594,-122.509315,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1
