,Tile_ID,Lat1,Lat2,Long1,Long2,Mid_lat,Mid_long,Stop_Signs,Bus_stop,Paving,Future,Historical,Collision_rate,Collision_rate_score,Collision_binary
7118,7118,37.76156371052632,37.76246731578947,-122.40157452173914,-122.40271463768116,37.762016,-122.402145,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1465,1465,37.71909426315789,37.719997868421046,-122.49392391304347,-122.49506402898552,37.719546,-122.494494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
758,758,37.71367263157895,37.714576236842106,-122.49164368115945,-122.49278379710144,37.714124,-122.492214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
217,217,37.71005821052631,37.710961815789474,-122.38333266666667,-122.3844727826087,37.71051,-122.383903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5270,5270,37.74710602631579,37.74800963157895,-122.4198163768116,-122.42095649275365,37.747558,-122.420386,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
7272,7272,37.76246731578947,37.76337092105263,-122.44489892753624,-122.44603904347828,37.762919,-122.445469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3469,3469,37.73355194736842,37.73445555263157,-122.42323672463768,-122.42437684057973,37.734004,-122.423807,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5834,5834,37.75162405263158,37.75252765789473,-122.3890332463768,-122.39017336231883,37.752076,-122.389603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
220,220,37.71005821052631,37.710961815789474,-122.38675301449275,-122.3878931304348,37.71051,-122.387323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1307,1307,37.71819065789474,37.71909426315789,-122.45744020289855,-122.4585803188406,37.718642,-122.45801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2921,2921,37.72993752631579,37.73084113157894,-122.3730716231884,-122.37421173913044,37.730389,-122.373642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5933,5933,37.75162405263158,37.75252765789473,-122.50190472463768,-122.50304484057972,37.752076,-122.502475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10507,10507,37.78867186842105,37.78957547368421,-122.4426186956522,-122.4437588115942,37.789124,-122.443189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
6288,6288,37.754334868421054,37.75523847368421,-122.50988553623188,-122.51102565217391,37.754787,-122.510456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1923,1923,37.72270868421053,37.72361228947368,-122.44147857971016,-122.4426186956522,37.72316,-122.442049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3700,3700,37.735359157894734,37.736262763157896,-122.41525591304348,-122.41639602898552,37.735811,-122.415826,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
