,Tile_ID,Lat1,Lat2,Long1,Long2,Mid_lat,Mid_long,Stop_Signs,Bus_stop,Paving,Collisions_Future,Collisions_Historical,Collision_binary_historical,Collision_binary_future
1373,1373,37.71909426315789,37.719997868421046,-122.3890332463768,-122.39017336231883,37.719546,-122.389603,8.0,2.0,2.0,1.0,1.0,1,1
2411,2411,37.72632310526316,37.72722671052631,-122.40157452173914,-122.40271463768116,37.726775,-122.402145,1.0,0.0,0.0,0.0,1.0,1,0
9047,9047,37.776925,37.77782860526315,-122.40955533333334,-122.41069544927537,37.777377,-122.410125,0.0,0.0,0.0,1.0,1.0,1,1
8903,8903,37.77511778947368,37.77602139473685,-122.49962449275364,-122.50076460869566,37.77557,-122.500195,4.0,2.0,0.0,0.0,1.0,1,0
10938,10938,37.79318989473684,37.7940935,-122.435778,-122.43691811594204,37.793642,-122.436348,4.0,1.0,0.0,0.0,1.0,1,0
10389,10389,37.78776826315789,37.78867186842105,-122.42095649275365,-122.42209660869564,37.78822,-122.421527,0.0,1.0,0.0,6.0,3.0,1,1
7590,7590,37.76517813157895,37.7660817368421,-122.42095649275365,-122.42209660869564,37.76563,-122.421527,0.0,0.0,1.0,1.0,2.0,1,1
8962,8962,37.77602139473685,37.776925,-122.43919834782608,-122.44033846376811,37.776473,-122.439768,0.0,0.0,0.0,1.0,1.0,1,1
8500,8500,37.77240697368421,37.77331057894737,-122.43121753623188,-122.43235765217392,37.772859,-122.431788,4.0,0.0,0.0,0.0,1.0,1,0
11348,11348,37.79770792105264,37.79861152631579,-122.43805823188409,-122.43919834782608,37.79816,-122.438628,4.0,0.0,0.0,2.0,2.0,1,1
3318,3318,37.732648342105264,37.73355194736842,-122.3890332463768,-122.39017336231883,37.7331,-122.389603,4.0,1.0,1.0,2.0,3.0,1,1
4300,4300,37.73987718421053,37.74078078947368,-122.42095649275365,-122.42209660869564,37.740329,-122.421527,1.0,0.0,0.0,0.0,1.0,1,0
5033,5033,37.74529881578947,37.74620242105263,-122.42209660869564,-122.42323672463768,37.745751,-122.422667,1.0,0.0,0.0,0.0,1.0,1,0
7635,7635,37.76517813157895,37.7660817368421,-122.47226171014492,-122.47340182608696,37.76563,-122.472832,1.0,2.0,0.0,2.0,2.0,1,1
486,486,37.71186542105263,37.71276902631578,-122.43691811594204,-122.43805823188409,37.712317,-122.437488,4.0,1.0,0.0,0.0,1.0,1,0
1246,1246,37.71819065789474,37.71909426315789,-122.3878931304348,-122.3890332463768,37.718642,-122.388463,4.0,1.0,0.0,0.0,1.0,1,0
10186,10186,37.78596105263158,37.78686465789474,-122.435778,-122.43691811594204,37.786413,-122.436348,0.0,0.0,0.0,0.0,2.0,1,0
