city,year,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
Adelanto,2014,0,77.83214285714286,53.74148351648352,65.82664835164836,134.89999999999998,134.89999999999998,0.21,175.0,11.93543956043956,22.560714285714287
Adelanto,2015,1,76.29258241758242,52.996428571428574,64.65769230769232,111.3,111.3,0.0,206.0,11.578846153846154,21.63846153846154
Adelanto,2016,0,76.76684931506848,52.84027397260273,64.7813698630137,137.8,137.3,0.35,208.0,12.419452054794517,23.15780821917808
Adelanto,2017,1,77.32747252747252,54.410164835164835,65.71208791208791,133.2,132.9,0.21000000000000002,243.0,12.611813186813189,23.11813186813187
Adelanto,2018,0,77.22087912087912,53.83516483516483,65.43351648351648,126.0,125.79999999999998,0.14,220.0,12.339285714285714,22.36565934065934
Agoura Hills,2014,1,75.13681318681319,55.231868131868126,64.44175824175824,302.7,302.7,0.0,291.0,7.632967032967034,22.063736263736264
Agoura Hills,2015,1,75.01593406593405,55.3967032967033,64.52719780219779,130.10000000000002,130.10000000000002,0.0,258.0,7.525824175824176,21.642307692307696
Agoura Hills,2016,2,74.00465753424656,54.75205479452055,63.55287671232877,292.5,292.5,0.0,337.0,7.699178082191781,21.907397260273974
Agoura Hills,2017,1,74.27857142857142,55.36620879120879,64.06401098901098,332.40000000000003,332.40000000000003,0.0,429.0,7.471153846153846,21.439835164835166
Agoura Hills,2018,1,73.80439560439561,54.96483516483516,63.50796703296704,289.40000000000003,289.40000000000003,0.0,334.0,7.462087912087913,21.292857142857144
Alameda,2014,3,71.74642857142857,52.47445054945055,60.80741758241758,480.4,480.4,0.0,602.0,9.434615384615384,22.633791208791205
Alameda,2015,3,70.59835164835165,51.76565934065934,59.981318681318676,239.20000000000002,239.20000000000002,0.0,324.0,9.361538461538462,21.811263736263736
Alameda,2016,3,69.17342465753424,51.36931506849316,59.19315068493151,553.5,553.5,0.0,707.0,9.71178082191781,22.79041095890411
Alameda,2017,3,70.25,51.43379120879121,59.690934065934066,654.1,654.1,0.0,769.0,10.1,23.458241758241755
Alameda,2018,3,70.11456043956044,50.90824175824176,59.21538461538462,378.0,378.0,0.0,569.0,9.618406593406593,22.417857142857144
Albany,2014,3,71.77802197802198,52.09340659340659,60.61016483516483,542.2,542.2,0.0,592.0,9.176648351648351,21.64917582417582
Albany,2015,3,70.68543956043956,51.482142857142854,59.82747252747253,249.59999999999997,249.59999999999997,0.0,314.0,9.143406593406594,20.91346153846154
Albany,2016,3,69.2304109589041,50.91863013698631,58.95835616438356,594.3999999999999,594.3999999999999,0.0,725.0,9.375616438356165,21.648219178082194
Albany,2017,3,70.43489010989012,51.01291208791209,59.5087912087912,693.3000000000001,693.3000000000001,0.0,750.0,9.642857142857144,22.206043956043956
Albany,2018,3,70.41950549450549,50.59038461538462,59.1337912087912,392.4,392.4,0.0,518.0,9.311538461538461,21.50741758241758
Alhambra,2014,1,79.94615384615385,55.67115384615384,66.86043956043956,254.5,254.5,0.0,274.0,7.962087912087911,20.063186813186814
Alhambra,2015,1,79.25,55.24972527472527,66.39340659340658,132.5,132.5,0.0,264.0,7.943956043956042,19.588186813186812
Alhambra,2016,1,78.44164383561645,54.72712328767124,65.57397260273973,246.5,246.5,0.0,303.0,8.041917808219178,19.736164383561647
Alhambra,2017,1,78.89587912087912,55.77390109890111,66.36785714285715,279.40000000000003,279.40000000000003,0.0,388.0,8.054945054945055,19.438736263736264
Alhambra,2018,1,78.40576923076924,55.28214285714286,65.71373626373627,275.0,275.0,0.0,331.0,7.954945054945056,19.353846153846153
Aliso Viejo,2014,1,74.69615384615385,57.619505494505496,65.20989010989011,209.5,209.5,0.0,253.0,9.009065934065935,18.325
Aliso Viejo,2015,1,74.03379120879121,57.25851648351648,64.86593406593406,160.2,160.2,0.0,352.0,9.184890109890109,18.28076923076923
Aliso Viejo,2016,3,73.04931506849314,56.796712328767114,64.04164383561644,254.7,254.7,0.0,367.0,9.25095890410959,18.433972602739725
Aliso Viejo,2017,3,73.62967032967033,57.4010989010989,64.61895604395605,272.29999999999995,272.29999999999995,0.0,399.0,9.034065934065934,17.937912087912085
Aliso Viejo,2018,3,73.25934065934065,57.2695054945055,64.3032967032967,241.5,241.5,0.0,321.0,9.099450549450548,18.062637362637364
Alturas,2014,0,63.640934065934054,41.644780219780216,52.59450549450549,460.1,380.70000000000005,60.55,1002.0,10.976923076923079,23.09752747252747
Alturas,2015,1,62.89725274725274,40.90164835164835,51.89505494505495,445.6,310.3,98.91000000000001,920.0,10.28434065934066,21.611263736263737
Alturas,2016,1,60.63534246575343,39.733698630136985,50.22821917808219,536.5999999999999,379.6,116.76,1083.0,11.265479452054793,23.61041095890411
Alturas,2017,1,60.471703296703296,39.33653846153846,49.919780219780215,585.2,358.3,167.44,1256.0,11.191758241758242,23.400274725274723
Alturas,2018,0,61.53543956043956,39.60851648351648,50.66428571428571,450.70000000000005,316.90000000000003,99.89,910.0,10.571153846153846,22.269780219780223
Amador City,2014,1,73.80631868131867,51.99285714285715,62.560989010989005,954.3000000000001,954.3000000000001,0.0,898.0,7.413186813186814,18.8521978021978
Amador City,2015,1,72.56895604395605,50.77060439560441,61.40686813186813,621.0,620.1,0.63,587.0,7.139285714285713,18.39395604395604
Amador City,2016,0,71.64931506849315,50.714520547945206,61.072876712328764,1267.6,1267.5,0.07,1146.0,7.8,19.857260273972603
Amador City,2017,0,72.22142857142858,51.742307692307705,61.770879120879115,1527.0,1522.9,2.87,1283.0,8.44175824175824,20.8478021978022
Amador City,2018,1,72.4021978021978,50.6423076923077,61.294230769230765,949.0999999999999,946.0,2.17,832.0,7.559890109890111,19.04423076923077
American Canyon,2014,3,73.93873626373626,51.542582417582416,61.52472527472528,616.7,616.7,0.0,661.0,10.451373626373627,21.13818681318681
American Canyon,2015,3,72.89093406593408,50.910439560439556,60.73351648351648,270.5,270.5,0.0,321.0,10.336813186813187,20.463461538461537
American Canyon,2016,3,71.44465753424657,50.278082191780825,59.850410958904114,670.0999999999999,670.0999999999999,0.0,786.0,10.912602739726028,21.507397260273976
American Canyon,2017,3,72.91923076923078,50.78791208791208,60.78846153846154,764.4999999999999,764.4999999999999,0.0,805.0,11.300824175824175,22.187362637362636
American Canyon,2018,3,73.0945054945055,50.247252747252745,60.42005494505495,434.5,434.5,0.0,563.0,10.809890109890109,21.23489010989011
Anaheim,2014,2,76.65851648351648,55.987912087912086,65.4846153846154,227.10000000000002,227.10000000000002,0.0,268.0,9.34065934065934,19.432692307692307
Anaheim,2015,1,76.0510989010989,55.54093406593407,65.10467032967033,147.1,147.1,0.0,309.0,9.361813186813187,19.228571428571428
Anaheim,2016,3,74.99479452054796,55.24301369863013,64.2627397260274,229.3,229.3,0.0,353.0,9.493698630136986,19.26684931506849
Anaheim,2017,3,75.46538461538461,55.91401098901099,64.82005494505495,257.1,257.1,0.0,394.0,9.384065934065935,19.037362637362637
Anaheim,2018,3,75.06868131868131,55.707692307692305,64.43516483516483,239.5,239.5,0.0,334.0,9.33434065934066,18.953021978021976
Anderson,2014,1,75.95989010989011,53.787637362637355,64.77994505494506,783.0999999999999,783.0999999999999,0.0,1034.0,8.372802197802198,21.23076923076923
Anderson,2015,1,76.00989010989012,53.824175824175825,64.70796703296703,418.19999999999993,418.19999999999993,0.0,595.0,7.979670329670331,20.40741758241758
Anderson,2016,0,73.47315068493153,52.52219178082191,62.98219178082192,962.4000000000001,961.6,0.5599999999999999,1211.0,8.303835616438356,21.092054794520546
Anderson,2017,0,74.61236263736264,53.2032967032967,63.67857142857143,909.1999999999999,899.4,6.86,1223.0,8.667307692307693,21.66675824175824
Anderson,2018,0,75.26675824175824,52.72664835164835,63.90082417582418,615.5,615.4,0.07,882.0,7.916758241758242,20.23598901098901
