City,County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Statewide,Statewide,"12,150","12,026","12,411","13,562","14,999","15,807","17,376","17,486","16,845","19,152","15,181.4"
"LOS ANGELES","LOS ANGELES","1,351","1,287","1,331","1,346","1,693","1,748","1,824","1,819","1,693","2,039","1,613.1"
"SAN DIEGO","SAN DIEGO",370,372,334,373,398,385,442,447,388,522,403.1
"SAN FRANCISCO","SAN FRANCISCO",240,176,259,266,308,298,311,341,251,314,276.4
SACRAMENTO,SACRAMENTO,164,210,186,201,214,230,239,246,261,361,231.2
"SAN JOSE","SANTA CLARA",204,213,216,214,205,201,262,269,238,246,226.8
"LONG BEACH","LOS ANGELES",133,125,109,144,179,186,232,231,206,245,179.0
OAKLAND,ALAMEDA,102,123,156,175,182,160,164,204,164,176,160.6
RIVERSIDE,RIVERSIDE,82,94,100,109,132,119,132,153,126,150,119.7
BAKERSFIELD,KERN,91,77,108,80,94,106,105,137,160,141,109.9
"SAN BERNARDINO","SAN BERNARDINO",58,69,109,99,97,115,110,117,143,127,104.4
ANAHEIM,ORANGE,90,96,75,100,113,106,89,125,110,107,101.1
FRESNO,FRESNO,66,50,118,105,85,92,60,85,166,171,99.8
STOCKTON,"SAN JOAQUIN",73,40,27,95,119,116,142,131,118,108,96.9
MODESTO,STANISLAUS,68,54,58,66,87,94,107,117,130,99,88.0
"SANTA ANA",ORANGE,90,85,76,93,103,109,62,31,40,99,78.8
ONTARIO,"SAN BERNARDINO",52,40,52,54,71,49,95,93,58,102,66.6
IRVINE,ORANGE,51,69,63,51,73,78,78,58,53,65,63.9
POMONA,"LOS ANGELES",43,48,56,55,54,56,61,74,62,62,57.1
LANCASTER,"LOS ANGELES",39,40,48,51,62,59,55,64,58,72,54.8
"CHULA VISTA","SAN DIEGO",47,48,51,59,68,57,62,47,49,48,53.6
OCEANSIDE,"SAN DIEGO",41,33,67,58,60,58,54,50,51,64,53.6
PALMDALE,"LOS ANGELES",43,46,52,36,49,58,47,48,55,86,52.0
FONTANA,"SAN BERNARDINO",43,37,31,38,38,42,71,62,70,86,51.8
FREMONT,ALAMEDA,39,50,54,61,39,58,53,58,37,61,51.0
"EL CAJON","SAN DIEGO",30,31,45,52,55,63,75,49,54,48,50.2
HAYWARD,ALAMEDA,32,42,38,32,54,52,59,68,45,61,48.3
"GARDEN GROVE",ORANGE,44,34,45,43,40,53,56,48,54,56,47.3
CORONA,RIVERSIDE,32,27,30,37,37,56,49,72,56,72,46.8
"SANTA ROSA",SONOMA,34,34,41,49,50,42,65,58,43,42,45.8
SALINAS,MONTEREY,21,34,48,29,50,40,69,53,48,61,45.3
VALLEJO,SOLANO,36,39,47,42,49,41,46,43,47,62,45.2
ORANGE,ORANGE,44,40,22,44,39,56,74,35,39,54,44.7
"SANTA CLARITA","LOS ANGELES",27,33,31,52,45,40,45,61,44,64,44.2
FAIRFIELD,SOLANO,32,29,38,42,52,45,43,67,50,44,44.2
ESCONDIDO,"SAN DIEGO",41,31,44,41,49,44,41,49,47,54,44.1
VICTORVILLE,"SAN BERNARDINO",38,27,35,39,26,48,38,52,65,66,43.4
"JURUPA VALLEY",RIVERSIDE,36,25,45,43,42,45,43,47,48,51,42.5
VENTURA,VENTURA,30,37,40,33,40,38,43,48,50,61,42.0
"NEWPORT BEACH",ORANGE,38,35,38,33,37,38,34,50,55,58,41.6
"HUNTINGTON BEACH",ORANGE,35,34,45,46,42,42,41,44,44,40,41.3
CONCORD,"CONTRA COSTA",30,29,33,32,34,51,53,65,42,42,41.1
RICHMOND,"CONTRA COSTA",37,28,19,25,43,34,60,57,41,59,40.3
"COSTA MESA",ORANGE,26,27,22,34,38,40,55,48,41,69,40.0
PASADENA,"LOS ANGELES",33,38,32,41,37,44,48,37,41,42,39.3
"SANTA BARBARA","SANTA BARBARA",33,46,37,34,52,38,50,35,30,33,38.8
BERKELEY,ALAMEDA,25,32,18,36,29,27,46,75,40,58,38.6
HESPERIA,"SAN BERNARDINO",24,29,27,35,37,56,27,36,62,52,38.5
